open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore
2020-10-28 00:00:00+00:00,403.04,408.98,380.85,388.68,1824.47781,2020-10-28 23:59:59.999000+00:00,718589.9913064,1040,1161.40296,457552.0235032,0
2020-10-29 00:00:00+00:00,388.0,393.48,380.62,386.81,629.31635,2020-10-29 23:59:59.999000+00:00,244885.4292305,414,440.60544,171672.2548705,0
2020-10-30 00:00:00+00:00,387.42,391.65,373.6,383.32,1543.29431,2020-10-30 23:59:59.999000+00:00,588580.1177138,935,886.21336,337817.3564363,0
2020-10-31 00:00:00+00:00,382.43,393.84,380.47,386.8,2025.8177,2020-10-31 23:59:59.999000+00:00,785772.8556323,1144,1097.87339,425968.4021139,0
2020-11-01 00:00:00+00:00,385.07,397.45,385.0,396.09,1387.71897,2020-11-01 23:59:59.999000+00:00,541665.1830064,808,649.85752,253592.5387095,0
2020-11-02 00:00:00+00:00,396.85,404.04,377.97,383.01,4062.81574,2020-11-02 23:59:59.999000+00:00,1585718.7739561,2030,1929.93271,746433.1026034,0
2020-11-03 00:00:00+00:00,382.86,390.1,370.4,387.9,1991.65008,2020-11-03 23:59:59.999000+00:00,756476.5986939,1373,688.32336,261148.0997006,0
2020-11-04 00:00:00+00:00,387.94,408.39,376.96,402.07,3841.35488,2020-11-04 23:59:59.999000+00:00,1522039.8983745,2482,1258.04644,496370.5705608,0
2020-11-05 00:00:00+00:00,402.54,420.38,397.05,416.2,3836.9351,2020-11-05 23:59:59.999000+00:00,1571045.9267295,2927,1121.17648,458794.0053132,0
2020-11-06 00:00:00+00:00,417.12,457.79,414.95,455.89,3440.99544,2020-11-06 23:59:59.999000+00:00,1502046.8593457,3032,1414.96193,616807.5579375,0
2020-11-07 00:00:00+00:00,455.33,468.09,425.42,435.13,2279.09747,2020-11-07 23:59:59.999000+00:00,1014773.4134555,2364,1019.86545,455253.3529407,0
2020-11-08 00:00:00+00:00,434.84,459.17,432.24,454.8,807.50287,2020-11-08 23:59:59.999000+00:00,362361.3854113,903,312.08541,140090.6887044,0
2020-11-09 00:00:00+00:00,454.48,458.92,433.73,445.33,1483.95299,2020-11-09 23:59:59.999000+00:00,662178.1545868,1466,581.30482,259602.42314,0
2020-11-10 00:00:00+00:00,444.54,454.81,439.14,450.18,809.92712,2020-11-10 23:59:59.999000+00:00,362925.3141834,864,408.25379,182999.8866153,0
2020-11-11 00:00:00+00:00,450.83,475.71,450.21,463.44,1314.46958,2020-11-11 23:59:59.999000+00:00,611825.0678827,1471,620.37678,288150.7271915,0
2020-11-12 00:00:00+00:00,463.24,469.66,452.22,462.22,1177.91799,2020-11-12 23:59:59.999000+00:00,541085.6994009,1214,599.99709,275525.9324061,0
2020-11-13 00:00:00+00:00,462.81,477.83,457.18,476.92,1321.20974,2020-11-13 23:59:59.999000+00:00,615821.3375296,1175,632.62595,295212.6791154,0
2020-11-14 00:00:00+00:00,476.93,476.93,452.73,462.0,613.61147,2020-11-14 23:59:59.999000+00:00,284252.8272178,856,248.54669,115234.5902365,0
2020-11-15 00:00:00+00:00,460.57,462.68,27.0,448.15,3205.95039,2020-11-15 23:59:59.999000+00:00,1392645.3596697,1710,1345.53834,598911.2033362,0
2020-11-16 00:00:00+00:00,447.5,465.72,445.93,461.09,1447.64534,2020-11-16 23:59:59.999000+00:00,665797.9726062,1144,478.6194,218979.8717286,0
2020-11-17 00:00:00+00:00,461.74,484.72,461.74,482.23,1771.11724,2020-11-17 23:59:59.999000+00:00,839653.1670284,1738,745.2415,353361.2466136,0
2020-11-18 00:00:00+00:00,483.64,497.26,458.01,478.91,3710.66599,2020-11-18 23:59:59.999000+00:00,1773891.5736266,3324,2133.50691,1023933.6527968,0
2020-11-19 00:00:00+00:00,478.63,480.5,465.22,470.99,865.91071,2020-11-19 23:59:59.999000+00:00,410627.4723454,971,331.57393,157090.915213,0
2020-11-20 00:00:00+00:00,471.19,513.88,470.81,510.0,2325.41459,2020-11-20 23:59:59.999000+00:00,1154484.9053878,2370,1154.34545,573080.1755253,0
2020-11-21 00:00:00+00:00,510.37,553.07,503.26,552.21,2971.51747,2020-11-21 23:59:59.999000+00:00,1573235.3863089,3203,1450.90753,770685.9932765,0
2020-11-22 00:00:00+00:00,552.99,580.54,511.98,560.19,4394.34675,2020-11-22 23:59:59.999000+00:00,2408872.5016823,4872,2070.28364,1132232.7179977,0
2020-11-23 00:00:00+00:00,561.37,610.51,550.44,609.36,4022.34421,2020-11-23 23:59:59.999000+00:00,2360484.5669636,4866,1915.97217,1121609.1202054,0
2020-11-24 00:00:00+00:00,609.12,622.17,588.76,604.7,4537.17322,2020-11-24 23:59:59.999000+00:00,2763255.9394957,4337,2009.64676,1226029.8477174,0
2020-11-25 00:00:00+00:00,605.79,605.85,554.35,570.96,2583.36659,2020-11-25 23:59:59.999000+00:00,1505038.9636508,2766,1376.0334,799602.4998238,0
2020-11-26 00:00:00+00:00,569.04,576.54,482.46,518.28,9632.47989,2020-11-26 23:59:59.999000+00:00,4942536.9778622,10491,5295.54504,2721020.1440507,0
2020-11-27 00:00:00+00:00,520.0,530.6,494.25,517.96,2644.48429,2020-11-27 23:59:59.999000+00:00,1357024.5716864,3650,1245.29329,639187.7452925,0
2020-11-28 00:00:00+00:00,518.47,547.77,506.9,537.6,1923.95644,2020-11-28 23:59:59.999000+00:00,1022238.5788224,2354,998.52641,530129.2928264,0
2020-11-29 00:00:00+00:00,537.47,576.74,530.93,575.84,2369.91522,2020-11-29 23:59:59.999000+00:00,1307127.0559218,2525,1021.64441,562290.3582608,0
2020-11-30 00:00:00+00:00,576.63,616.36,570.73,616.36,4871.1103,2020-11-30 23:59:59.999000+00:00,2908368.7150109,5403,2521.23216,1506310.7698236,0
2020-12-01 00:00:00+00:00,616.66,635.62,562.01,585.43,7946.7266,2020-12-01 23:59:59.999000+00:00,4758830.89298,8687,3957.8341,2368814.2500636,0
2020-12-02 00:00:00+00:00,584.58,604.64,574.76,597.16,3291.75071,2020-12-02 23:59:59.999000+00:00,1947126.2677291,3843,1568.83797,928460.4932635,0
2020-12-03 00:00:00+00:00,597.0,623.33,586.14,616.11,2261.74159,2020-12-03 23:59:59.999000+00:00,1372637.1700362,2718,951.40096,577441.2542501,0
2020-12-04 00:00:00+00:00,615.41,619.86,566.01,567.38,3777.64698,2020-12-04 23:59:59.999000+00:00,2233883.1339335,4658,1508.19347,890696.5321879,0
2020-12-05 00:00:00+00:00,566.99,597.0,561.03,597.0,1112.28317,2020-12-05 23:59:59.999000+00:00,648021.5622561,1612,587.67937,342281.7293775,0
2020-12-06 00:00:00+00:00,597.09,607.65,583.13,601.79,2168.73324,2020-12-06 23:59:59.999000+00:00,1296030.3020465,2310,1086.971,648405.6269326,0
2020-12-07 00:00:00+00:00,602.16,602.75,583.23,591.1,2510.12219,2020-12-07 23:59:59.999000+00:00,1488131.3318182,2236,1213.55111,714766.8195706,0
2020-12-08 00:00:00+00:00,590.59,594.9,549.45,555.03,2633.44904,2020-12-08 23:59:59.999000+00:00,1501243.9406933,3339,1187.30249,675479.7421816,0
2020-12-09 00:00:00+00:00,554.57,578.0,530.9,573.33,3946.482,2020-12-09 23:59:59.999000+00:00,2192202.3163335,4450,2014.40364,1117852.9421099,0
2020-12-10 00:00:00+00:00,572.99,575.65,548.11,558.72,2135.95169,2020-12-10 23:59:59.999000+00:00,1198223.1767791,2322,1103.91336,618912.6704302,0
2020-12-11 00:00:00+00:00,559.35,560.32,535.18,544.15,2602.59742,2020-12-11 23:59:59.999000+00:00,1420437.7109763,3050,1321.41322,721156.3555554,0
2020-12-12 00:00:00+00:00,544.32,573.84,543.83,567.67,1987.05132,2020-12-12 23:59:59.999000+00:00,1111402.0284623,1705,909.1261,508534.8253102,0
2020-12-13 00:00:00+00:00,567.92,595.04,563.58,590.87,3139.86575,2020-12-13 23:59:59.999000+00:00,1834253.4316864,2273,984.94249,575656.7471189,0
2020-12-14 00:00:00+00:00,591.06,591.42,575.85,586.51,1700.87186,2020-12-14 23:59:59.999000+00:00,994696.8970986,1442,545.49612,319158.0948873,0
2020-12-15 00:00:00+00:00,586.55,597.28,579.43,589.34,2305.12822,2020-12-15 23:59:59.999000+00:00,1355233.569103,1630,1080.11469,635575.4431435,0
2020-12-16 00:00:00+00:00,588.56,638.47,581.0,637.49,5050.74326,2020-12-16 23:59:59.999000+00:00,3090041.6514987,4016,2180.82751,1340756.6260426,0
2020-12-17 00:00:00+00:00,637.33,675.89,626.94,643.85,10329.54198,2020-12-17 23:59:59.999000+00:00,6737552.7584153,9235,4217.76261,2750543.7344645,0
2020-12-18 00:00:00+00:00,643.31,664.42,630.0,653.67,5797.85418,2020-12-18 23:59:59.999000+00:00,3759386.0885595,4954,1367.66889,886477.9434359,0
2020-12-19 00:00:00+00:00,654.4,670.07,645.71,658.44,2326.09972,2020-12-19 23:59:59.999000+00:00,1527612.8535162,2662,921.2805,605529.6916611,0
2020-12-20 00:00:00+00:00,657.19,661.0,621.49,638.45,2954.75495,2020-12-20 23:59:59.999000+00:00,1904298.1326065,2897,1267.99375,817751.5038808,0
2020-12-21 00:00:00+00:00,637.1,647.99,596.48,608.45,4849.8372,2020-12-21 23:59:59.999000+00:00,2979148.9525192,3604,2566.93565,1571599.2229876,0
2020-12-22 00:00:00+00:00,608.44,637.54,588.58,636.67,5667.35964,2020-12-22 23:59:59.999000+00:00,3481332.8458297,4733,1207.50583,743158.9628362,0
2020-12-23 00:00:00+00:00,637.1,642.48,552.09,585.41,5736.3751,2020-12-23 23:59:59.999000+00:00,3474139.2814455,5379,2483.63004,1505460.4103494,0
2020-12-24 00:00:00+00:00,585.71,615.0,565.82,612.68,5476.94501,2020-12-24 23:59:59.999000+00:00,3212433.958017,4466,1636.27613,955690.8394181,0
2020-12-25 00:00:00+00:00,612.83,650.0,605.0,626.46,7022.69887,2020-12-25 23:59:59.999000+00:00,4359094.121394,5287,2254.60851,1394376.3929618,0
2020-12-26 00:00:00+00:00,627.75,652.88,615.58,637.57,6076.16224,2020-12-26 23:59:59.999000+00:00,3852160.1731971,5141,1438.91284,914368.5162677,0
